portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,1114254,AMP-USD,SELL,2021-06-15T16:31:09.957Z,19492.00000000,AMP,0.08713,3.39667592,1694.94128408,USD
default,1114997,AMP-USD,BUY,2021-06-15T16:33:10.678Z,1613.00000000,AMP,0.08651,0.27908126,-139.81971126,USD
default,1114998,AMP-USD,BUY,2021-06-15T16:33:10.678Z,11993.00000000,AMP,0.08652,2.07526872,-1039.70962872,USD
default,1114999,AMP-USD,BUY,2021-06-15T16:33:10.678Z,5334.00000000,AMP,0.08671,0.92502228,-463.43616228,USD
default,1115000,AMP-USD,BUY,2021-06-15T16:33:10.678Z,598.00000000,AMP,0.08672,0.10371712,-51.96227712,USD
default,1115568,AMP-USD,SELL,2021-06-15T16:34:45.135Z,19538.00000000,AMP,0.08648,3.37929248,1686.26694752,USD
default,1115662,AMP-USD,BUY,2021-06-15T16:35:05.530Z,14334.00000000,AMP,0.08702,2.49468936,-1249.83936936,USD
default,1115663,AMP-USD,BUY,2021-06-15T16:35:05.530Z,4998.00000000,AMP,0.08716,0.87125136,-436.49693136,USD
default,1116363,AMP-USD,SELL,2021-06-15T16:37:52.821Z,19332.00000000,AMP,0.08619,3.33245016,1662.89262984,USD
default,1116492,AMP-USD,BUY,2021-06-15T16:38:21.933Z,19126.00000000,AMP,0.08677,3.31912604,-1662.88214604,USD
default,1120396,AMP-USD,SELL,2021-06-15T16:53:15.129Z,19126.00000000,AMP,0.08851,3.38568452,1689.45657548,USD
default,1121050,AMP-USD,BUY,2021-06-15T16:55:42.463Z,19099.00000000,AMP,0.08828,3.37211944,-1689.43183944,USD
default,1123713,AMP-USD,SELL,2021-06-15T17:05:07.475Z,19099.00000000,AMP,0.08897,3.39847606,1695.83955394,USD
default,1124384,AMP-USD,BUY,2021-06-15T17:07:36.010Z,19152.00000000,AMP,0.08837,3.38492448,-1695.84716448,USD
default,1126605,AMP-USD,SELL,2021-06-15T17:16:23.255Z,19152.00000000,AMP,0.08816,3.37688064,1685.06343936,USD
default,1187987,OGN-USD,BUY,2021-05-27T16:29:26.904Z,141.64000000,OGN,1.174,0.8314268,-167.1167868,USD
default,1187988,OGN-USD,BUY,2021-05-27T16:29:26.904Z,1630.64000000,OGN,1.174,9.5718568,-1923.9432168,USD
